Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerid
Trent Grisham,SDP,132,462,527,112,66,28,3,15,61,62,54,2,119,6,4,1,10,13,5,.242,18564
Nick Solak,TEX,127,458,511,111,80,18,2,11,57,49,34,0,107,15,2,2,11,7,5,.242,19294
Randal Grichuk,TOR,149,511,545,123,75,25,1,22,59,81,27,0,114,3,4,0,17,0,3,.241,10243
Robbie Grossman,DET,156,557,671,133,84,23,3,23,88,67,98,3,155,8,6,2,8,20,5,.239,5254
Austin Meadows,TBR,142,518,591,121,62,29,3,27,79,106,59,3,122,6,8,0,4,4,3,.234,15672
Cesar Hernandez,- - -,149,570,637,132,88,21,2,21,84,62,59,2,135,5,3,0,11,1,1,.232,10556
Mark Canha,OAK,141,519,625,120,77,22,4,17,93,61,77,0,128,27,2,0,9,12,2,.231,11445
Francisco Lindor,NYM,125,452,524,104,65,16,3,20,73,63,58,4,96,5,3,6,7,10,4,.230,12916
Tommy Pham,SDP,155,475,561,109,68,24,2,15,74,49,78,3,128,4,4,0,10,14,6,.229,2967
Adam Duvall,- - -,146,513,555,117,60,17,2,38,67,113,35,1,174,4,3,0,7,5,0,.228,10950
Kevin Newman,PIT,148,517,554,117,87,22,3,5,50,39,27,3,41,1,3,6,7,6,1,.226,17696
Ian Happ,CHC,148,465,535,105,59,20,1,25,63,66,62,0,156,5,1,2,12,9,2,.226,17919
Mike Yastrzemski,SFG,139,468,532,105,49,28,3,25,75,71,51,4,131,9,3,1,3,4,0,.224,14854
Miguel Sano,MIN,135,470,532,105,51,24,0,30,68,75,59,2,183,2,1,0,13,2,1,.223,12164
Jorge Soler,- - -,149,516,602,115,61,27,0,27,74,70,67,0,142,6,5,0,12,0,0,.223,14221
Andrew McCutchen,PHI,144,482,574,107,55,24,1,27,78,80,81,2,132,4,7,0,10,6,1,.222,9847
Hunter Dozier,KCR,144,487,543,105,56,27,6,16,55,54,43,0,154,7,6,0,12,5,4,.216,15117
Carlos Santana,KCR,158,565,659,121,87,15,0,19,66,69,86,3,102,3,5,0,12,2,0,.214,2396
Kyle Seager,SEA,159,603,670,128,63,29,1,35,73,101,59,2,161,4,4,0,7,3,1,.212,9785
Matt Chapman,OAK,151,529,622,111,66,15,3,27,75,72,80,0,202,4,9,0,6,3,2,.210,16505
Joey Gallo,- - -,153,498,616,99,47,13,1,38,90,77,111,5,213,6,1,0,6,6,0,.199,14128
Eugenio Suarez,CIN,145,505,574,100,46,23,0,31,71,79,56,0,171,8,5,0,14,0,1,.198,12552
